Province	Island	Site	Area Transect	ID Transect	Data	Depth (m)	Species Richnes (spp/tran)	Density (ind/m2)	Biomass (g/m2)
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5057	aug_2015	7	17	5.78	537.66
swa	trindade	ponta_norte	40	tri_ponta_norte_201	jun_2009	5	18	2.6	596.91
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5077	aug_2015	6	17	4.4	474.74
swa	trindade	ponta_norte	40	tri_ponta_norte_4855	jun_2009	15	15	3.35	720.78
swa	trindade	racha	40	tri_racha_244	jun_2009	30	17	1.57	583.38
swa	stpauls_rocks	sp_fora	40	spr_sp_fora_2926	apr_2012	18	12	5.3	581.55
swa	trindade	eme	40	tri_eme_262	jun_2009	10	13	2.75	318.61
swa	trindade	lixo	40	tri_lixo_219	jun_2009	18	17	1.98	458.43
swa	stpauls_rocks	enseada	40	spr_enseada_2762	apr_2012	35	13	5.55	525.86
swa	trindade	tartarugas	40	tri_tartarugas_272	jun_2009	8	22	3.15	653.33
swa	trindade	eme	40	tri_eme_285	jun_2009	5	15	3	415.2
swa	stpauls_rocks	enseada	40	spr_enseada_4874	apr_2012	8	8	5.22	661.04
swa	stpauls_rocks	sp_fora	40	spr_sp_fora_2917	apr_2012	22	8	2.52	930.97
cen_atla	ascension	northeast_point	40	asc_northeast_point_5045	aug_2015	7	16	5.15	689.81
cen_atla	ascension	northeast_point	40	asc_northeast_point_5054	aug_2015	7	21	6	887.78
cen_atla	ascension	northeast_point	40	asc_northeast_point_5039	aug_2015	8	15	5.4	890.41
cen_atla	ascension	northeast_point	40	asc_northeast_point_5041	aug_2015	6	18	5.92	689.69
swa	stpauls_rocks	boia	40	spr_boia_2712	apr_2012	33	12	1.4	415.69
swa	rocas	poita_do_zeca	40	roc_poita_do_zeca_1434	feb_2012	10	8	2.9	137.27
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5066	aug_2015	5	17	5.5	400.19
